,Year,Region,Country,Yields,Prec,Tmean,Tmax,Tmin,SPEI,FertApp,IrrRate,CO2,FACE_dummy,log_Yields,log_CO2,log_Prec,log_Tmean,log_Tmax,PDO,TAG,WPWP,C1,C2,C3,C4,C5,C6,C7,C8,DCV,Trend,Sq_Trend,Asia,EAsia,SEAsia,SAsia,WAsia,CAsia
710,1989,SAsia,Nepal,23657,1380.88,11.52,14.8,8.4,-0.55065,29.11295985,19.8,353.12,0,10.07141433,5.866807943,7.230476256,2.444084655,2.694627181,0,0,1,0,0,0,0,0,0,1,0,7,29,841,1,0,0,1,0,0
733,1990,SAsia,Nepal,24067,1385.39,11.68,14.94,8.58,1.85226,30.51289969,20.3,354.39,0,10.08859689,5.870398002,7.233736967,2.457877977,2.70404218,0,1,1,0,0,1,0,0,0,0,0,3,30,900,1,0,0,1,0,0
757,1991,SAsia,Nepal,22826,1231.82,11.53,14.81,8.4,0.41957,31.91322856,20.6,355.61,0,10.03565552,5.873834625,7.11624803,2.444952334,2.695302628,0,0,0,0,0,0,0,0,0,0,1,0,31,961,1,0,0,1,0,0
789,1992,SAsia,Nepal,20481,1017.88,11.4,14.8,8.14,-5.97469,33.30405462,21.2,356.45,0,9.927252906,5.876193978,6.925477312,2.433613355,2.694627181,1,1,0,0,1,0,0,0,0,0,0,2,32,1024,1,0,0,1,0,0
821,1993,SAsia,Nepal,24100,1340.47,11.73,15.14,8.52,-3.68099,34.69341117,24.2,357.1,0,10.08996712,5.878015855,7.200775578,2.462149663,2.717340248,1,0,0,0,0,0,0,1,0,0,0,5,33,1089,1,0,0,1,0,0
854,1994,SAsia,Nepal,21237,1164.94,11.7,15.09,8.4,0.85276,36.08270133,27.1,358.83,0,9.963500222,5.882848739,7.060424863,2.459588842,2.714032273,1,0,0,0,0,0,0,1,0,0,0,5,34,1156,1,0,0,1,0,0
885,1995,SAsia,Nepal,23910,1315.05,11.61,14.82,8.38,1.72505,37.46916761,27.1,360.82,0,10.08205206,5.888379219,7.181629967,2.451866796,2.69597762,1,0,1,0,0,0,1,0,0,0,0,4,35,1225,1,0,0,1,0,0
915,1996,SAsia,Nepal,24554,1474.19,11.65,14.94,8.47,-3.4869,35.87510828,27,362.61,0,10.10863005,5.893327877,7.295863965,2.45530618,2.70404218,1,0,1,0,0,0,1,0,0,0,0,4,36,1296,1,0,0,1,0,0
945,1997,SAsia,Nepal,24170,1203.29,11.35,14.61,8.18,3.03869,34.27823275,26.9,363.73,0,10.09286747,5.896411834,7.092814751,2.429217744,2.681706226,1,1,0,0,1,0,0,0,0,0,0,2,37,1369,1,0,0,1,0,0
973,1998,SAsia,Nepal,24434,1581.91,11.78,15.08,8.62,-0.46025,32.67699313,26.9,366.7,0,10.10373088,5.904544075,7.366388257,2.466403178,2.713369363,1,1,1,1,0,0,0,0,0,0,0,1,38,1444,1,0,0,1,0,0
1004,1999,SAsia,Nepal,24722,1367.74,11.9,15.21,8.68,-3.03304,31.07458504,26.8,368.38,0,10.11544881,5.909115014,7.220915022,2.4765384,2.721953106,0,0,0,0,0,0,0,0,0,0,1,0,39,1521,1,0,0,1,0,0
1034,2000,SAsia,Nepal,27028,1310.51,11.6,14.8,8.53,-4.59135,29.46945506,26.7,369.55,0,10.20462864,5.912286049,7.178171653,2.451005098,2.694627181,0,0,0,0,0,0,0,0,0,0,1,0,40,1600,1,0,0,1,0,0
